usuario_id,item_id,nota
1,5,4
1,21,3
1,20,5
1,4,4
1,17,1
1,25,2
1,29,2
1,11,3
1,2,3
1,3,4
2,7,2
2,24,3
2,1,3
2,12,4
2,30,3
2,28,5
3,15,1
3,3,3
3,14,2
3,11,5
3,10,3
3,13,3
3,6,2
3,7,2
3,24,3
3,20,4
3,30,3
4,1,3
4,13,4
4,19,4
4,14,2
4,25,3
4,4,4
4,29,4
4,23,3
4,26,2
4,10,2
5,11,5
5,30,1
5,22,5
5,10,5
5,23,2
5,14,4
5,25,1
5,3,4
6,10,3
6,19,5
6,7,3
6,11,3
6,21,2
6,2,3
7,18,5
7,19,5
7,29,3
7,8,1
7,13,1
7,2,1
7,23,4
7,20,3
7,15,3
7,12,4
7,25,2
8,2,5
8,17,4
8,29,5
8,15,1
8,14,3
8,22,4
8,8,5
8,4,1
8,26,2
8,28,4
9,10,2
9,3,5
9,28,2
9,2,2
9,12,3
9,17,1
9,19,3
9,18,4
9,20,3
9,26,4
10,15,5
10,26,3
10,5,4
10,16,3
10,18,4
10,17,4
10,30,3
10,27,5
10,12,3
10,28,4
10,7,5
10,25,4
11,24,4
11,26,4
11,5,1
11,14,3
11,19,4
11,4,5
11,3,4
11,1,1
12,22,3
12,14,3
12,2,3
12,1,3
12,6,1
12,13,2
12,18,1
13,3,4
13,5,5
13,12,4
13,18,5
13,7,2
13,15,1
13,24,2
13,1,2
13,19,2
14,19,3
14,4,3
14,24,4
14,21,3
14,10,3
14,27,3
14,23,5
15,24,4
15,17,4
15,7,2
15,11,4
15,14,3
15,23,5
15,5,5
15,22,3
15,3,2
15,1,5
